Music_Name,Artist_Name,Genre,Overlapping emotions,Lyrics ,Pitch / Tempo ,Description ,music link ,Tags,Duration,Language,Instrument_Type,Popularity / Trend Score,Metric_Source,License_Typ
Interstellar Main Theme (Extra Extended),Hans Zimmer,Cinematic / Orchestral / Emotional,"Film Score, Relaxation, Study",nan ,Slow / Gradual Build,"Interstellar Main Theme – Extra Extended” by Hans Zimmer is a powerful, emotional orchestral piece with strings, piano, and ambient synths. Perfect for cinematic scenes, space or science documentaries, inspirational videos, reflective moments, and study or meditation. Its epic yet intimate sound evokes awe, wonder, and deep introspection.

℗ All rights reserved.",https://youtu.be/UDVtMYqUAyw?si=ti0TRmu6pSmGhaYs,#cinematicorchestral #interstellartheme #inspirationalmusic #spacemusic #introspective,12:55,,music ,5,Youtube likes ,not copyright free 
ICARUS,Tony Ann,Classical Crossover / Cinematic,"Meditation, Study, Relaxation",nan ,low,"“ICARUS” by Tony Ann is a powerful, atmospheric electronic track that blends cinematic synths, driving beats, and soaring melodies to evoke ambition, tension, and emotional intensity. Perfect for action scenes, inspirational montages, futuristic or sci-fi visuals, and gaming content, it also works as background music for motivational videos, tech demos, or creative storytelling. The track’s dynamic energy and cinematic scope make it ideal for moments of triumph, struggle, or epic journeys.

℗ All rights reserved.",Tony Ann - ICARUS,#cinematic #electronica #inspirationalmusic #actionmusic #scifisoundtrack,3:26,,piano,2,Youtube likes ,not copyright free 
Experience,Ludovico Einaudi,Classical / Piano / Emotional,"Study, Relaxation, Meditation",nan ,Slow / Gradual Build,"Experience” by Ludovico Einaudi is a deeply emotive and cinematic piano masterpiece, weaving delicate melodies and subtle crescendos to evoke introspection, longing, and emotional depth. Ideal for film scenes, emotional montages, personal reflection, memorials, or travel and nature videos, it also serves beautifully as relaxing, meditative, or study music. Its expressive dynamics make it perfect for moments of intense feeling, nostalgia, or cinematic storytelling.

℗ All rights reserved.",https://youtu.be/Tu96yevGMEA?si=vDUE8mOUfQAqJQIy,#emotionalpiano #cinematicmusic #introspective #peacefulpiano #nostalgicmusic,6:24,,Paino ,3,Youtube likes ,not copyright free 
Van Gogh,Virginio Aiello,Piano / Classical / Emotional,"Study, Relaxation, Meditation",nan ,Slow / Soft,"Van Gogh” by Virginio Aiello is a tender and cinematic piano piece that flows like brushstrokes on a canvas, evoking reflection, serenity, and heartfelt emotion. Perfect for emotional film scenes, personal tributes, memorials, and introspective montages, it also creates a calming atmosphere for study, meditation, or relaxation. Its gentle melodies enhance artistic, travel, or nature visuals, adding poetic depth and emotional resonance to every moment. All rights reserved",https://youtu.be/l-fxH--8LFI?si=R0ENzeCaCAUVMbR1,#cinematicpiano #emotionalmusic #serenity #reflectivemusic #peacefulpiano,                   3:2,,Paino ,3,Youtube likes ,not copyright free 
Now We Are Free / Honor Him,Jacob’s Piano / Hans Zimmer,Cinematic / Piano / Emotional,"Study, Relaxation, Film Score",nan ,Slow / Soft,"Hans Zimmer’s iconic melodies, performed on solo acoustic piano, are transformed into intimate, reflective interpretations that capture the emotional depth of his scores. These tender and cinematic piano arrangements evoke introspection, hope, and heartfelt emotion, making them perfect for backgrounds that require warmth, inspiration, and emotional resonance. Ideal for cinematic scenes, emotional film montages, personal reflection, tributes, memorials, and storytelling moments. They also serve beautifully as calming music for meditation, mindfulness, study, or relaxation. Use these arrangements to underscore moments of courage, love, remembrance, or quiet contemplation—each note resonates with emotion, reflection, and a sense of inner peace.

℗ All rights reserved.",https://youtu.be/ghuyMVkITIE?si=-Va7KFMB8qwsFpGI,#cinematicpiano #emotionalmusic #hopefulmusic #reflectivemusic #peacefulpiano,3:16,,Paino ,2,Youtube likes ,not copyright free 
Compassion,Ilya Beshevli,Neoclassical / Piano,"Meditation, Relaxation, Study",nan ,Slow / Soft,"Compassion” by Ilya Beshevli is a delicate and minimalist modern classical piece, led by a serene piano melody that evokes quiet reflection, gentle sadness, and understated emotion. Its soft, introspective tone makes it ideal for film or documentary scenes depicting sorrow, personal reflection, or poignant montages. Perfect for artistic visuals, slow-motion cityscapes, nature time-lapses, meditation, study, or personal tribute videos, the music brings a peaceful, contemplative atmosphere to any background. Subtle yet profoundly moving, it inspires empathy, calm, and heartfelt introspection.
℗ 2018 Hvoya Records — All rights reserved.",https://youtu.be/woG1YB4m9h0?si=qPBfZfgPLENv2RJa,#neoclassical #pianomusic #reflectivemusic #sadmusic #peacefulmusic,3:06,,Orchestra ,1,Youtube likes ,not copyright free 
You Are Loved,Ryan Taubert,Cinematic / Orchestral / Emotional,"Meditation, Study, Relaxation",nan,Slow / Soft,"You Are Loved” by Ryan Taubert is a tender and cinematic masterpiece, blending delicate piano melodies with swelling orchestral strings to evoke comfort, hope, and heartfelt emotion. This deeply moving piece is perfect for backgrounds requiring warmth, love, and inspiration. Ideal for touching film montages, emotional documentaries, wedding or anniversary videos, tributes, memorials, and moments of personal reflection. It also serves beautifully as calming music for meditation, mindfulness, study, or relaxation. Use it to underscore acts of kindness, family connections, or heartfelt storytelling—its gentle yet powerful sound resonates with love, healing, and hope.
℗ 2017 Endeavor Music — All rights reserved.",https://youtu.be/O7YIHnIq0C4?si=2EJm5faim9h2LOfe,#cinematicmusic #emotionalorchestral #lovemusic #inspirationalmusic #peacefulmusic,3:54,, mix ,1,Youtube likes ,not copyright free 
Origins,Ryan Taubert,Cinematic / Orchestral,"Film Score, Meditation, Study",nan ,Moderate / Epic Build,"Origins” by Ryan Taubert is a cinematic orchestral masterpiece blending traditional orchestration with modern synth elements. Its epic, dramatic soundscape evokes wonder, inspiration, and the thrill of discovery. Perfect for sci-fi trailers, epic video game sequences, motivational montages, historical documentaries, or moments of dramatic tension, it transports listeners into a world of adventure and imagination.
℗ 2019 Taubert, Inc. under exclusive license to Sony Music Entertainment — All rights reserved.",https://youtu.be/i0GsS9uiBnU?si=mqCY5Ky4Q5OO26-E,#cinematicorchestral #epicmusic #inspirationalmusic #adventuremusic #scifisoundtrack,5:09,,mix,1,Youtube likes ,not copyright free 
Titanic - Hymn to the Sea (Whistle Version),Leyna Robinson-Stone,Cinematic / Whistle / Emotional,"Meditation, Relaxation, Film Score",nan ,Slow / Expressive,"Hymn to the Sea – Titanic Suite” by Leyna Robinson-Stone is a hauntingly beautiful orchestral and tin whistle arrangement that evokes deep sorrow, reflection, and remembrance. Its gentle piano, strings, and ethereal whistles create a poignant atmosphere, perfect for memorials, tributes, historical documentaries, emotional cinematic scenes, or reflective travel content. Ideal for moments of grief, nostalgia, or heartfelt reflection, this piece touches the soul and honors memories that linger.
© Leyna Robinson-Stone — All rights reserved.",https://youtu.be/JO1F6eMTDS4?si=p72O2n_bC25AUaxl,#cinematicmusic #emotionalsoundtrack #nostalgicmusic #memorialmusic #reflectivemusic,6:24,,Flute ,2,Youtube likes ,not copyright free 
The Shire,Aure,Cinematic / Orchestral / Emotional,"Meditation, Relaxation, Study",nan ,Slow / Gentle,"AURE – The Shire is a serene and emotional orchestral piece inspired by the pastoral beauty of The Lord of the Rings. Its gentle, flowing melodies evoke peace, nostalgia, and heartfelt reflection, making it perfect for relaxation, study, meditation, or storytelling. Ideal as background music for village life scenes, nature footage, cozy home moments, travel montages, or RPG and fantasy visuals. Experience calm, inspiration, and emotional depth in every note.
Created with AI assistance — All rights reserved.",https://youtu.be/5meAob0fJYY?si=igvbJwXOdZqMR5jq,#cinematicorchestral #fantasymusic #peacefulmusic #nostalgicmusic #relaxationmusic,3:36,,music ,1,Youtube likes ,not copyright free 
River Flows in You,Yiruma,Cinematic / Piano / Emotional,"Meditation, Relaxation, Study",nan ,low,"River Flows In You” by Yiruma is a soft, flowing piano masterpiece that evokes peace, reflection, and quiet emotion. Its gentle melody carries romance, nostalgia, and serenity, making it perfect for weddings, study, meditation, or simply moments of calm. Ideal as background music for romantic scenes, vlogs, nature footage, evening cityscapes, or cozy café moments. Loved worldwide, it transcends language, touching hearts and inspiring introspection.
© 2011 Sony Music Entertainment Korea Inc. — All rights reserved.",https://youtu.be/7maJOI3QMu0?si=HzeNYihadgx0Q3K5,#cinematicpiano #romanticmusic #peacefulmusic #nostalgicmusic #relaxationmusic,3:29,,piano,5,Youtube likes ,not copyright free 
Cold,Jorge Méndez,Sad / Emotional / Piano & Violin,"Study, Relaxation, Emotional Background",nan ,low / Soft,"Cold” by Jorge Méndez is a hauntingly beautiful piano composition that echoes sorrow, longing, and memories that never fade. Its slow, delicate melody captures the silence after loss — the kind that lingers long after the world moves on. A timeless piece for reflection, grief, and quiet nights when emotions speak louder than words.
© Jorge Méndez — All rights reserved. Licensed for promotion with permission.",https://youtu.be/pUZeSYsU0Uk?si=Ek_ywp1hzoziwAw5,#sadmusic #emotionalpiano #reflectivemusic #longingmusic #pianoviolin,4:57,,Piano / Violin,4,Youtube likes ,not copyright free 
Broken Hearts (Extended Orchestral Version),Michael Ortega,Cinematic / Orchestral / Emotional,"Broken heart, Sad, Reflective, Melancholic",nan ,Slow / Soft,"A Sad Song for Broken Hearts” by Michael Ortega is a soul‑stirring orchestral piano piece that breaks your heart even when it’s whole. Its gentle, emotional melody carries loneliness, longing, and silent pain, echoing the feeling of crying alone in a crowded world. Perfect for late nights, heartbreak, or emotional reflection.
Copyright © Michael Ortega — License required for commercial use.",https://youtu.be/epMOLn5Axw0?si=XiOutFQw0SGjG9Nu,#cinematicmusic #heartbreakmusic #sadmusic #emotionalorchestral #reflectivemusic,6:07,,music ,3,Youtube likes ,not copyright free 
Suicide Note,Jurrivh,Sad / Emotional / Piano Instrumental,"Broken Heart, Sad, Reflective, Melancholic",nan ,Slow / Soft,"Suicide Note by Jurrivh is a raw, melancholic piano instrumental that captures the weight of pain, loss, and silent battles. With its soft, echoing melody and XXXTENTACION‑inspired “emo rap” style, it creates a space for reflection and emotional release. Listeners connect to it through heartbreak, grief, and memories too heavy for words. A song that understands sadness — and makes it heard.
℗ 2017 Jurrivh — All rights reserved.",https://youtu.be/icgBviS1k6s?si=m85SjmFu4szziMyH,#sadmusic #emotionalpiano #heartbreakmusic #reflectivemusic #melancholymusic,3:28,,piano,3,Youtube likes ,not copyright free 
First Love (SlowVerb),Jurrivh & M.A.R.K.Y,Sad / Emotional / Piano,"Heartbreak, Sad, Reflective",nan ,Slow / Soft,"First Love (SlowVerb) is a soft, reflective piano track that gently carries the weight of lost love and bittersweet memories. Its slow, emotional melody evokes quiet nights, distant smiles, and the ache of someone who’s no longer there. A song for those who loved deeply and still remember. Perfect for heartbreak, reflection, or late-night thoughts.
℗ 2024 Jurriaan van Hoffen — All rights reserved.",https://youtu.be/WJXqf78xOQU?si=PlDN65UFQd47zaLZ,#sadmusic #emotionalpiano #heartbreakmusic #nostalgicmusic #reflectivemusic,4:06,,piano,2,Youtube likes ,not copyright free 
snowfall (slowed),Øneheart x reidenshi,Sad / Emotional / Lo-Fi,"Heartbreak, Sad, Reflective",nan ,Slow / Soft,"Experience the epic, cinematic power of Hans Zimmer’s Time, as featured in Christopher Nolan’s Inception. This orchestral masterpiece blends hope and despair, guiding listeners through reflection on life, memories, and the fleeting nature of time. Its soaring melodies evoke introspection, inspiration, and a sense of awe—perfect for moments of deep thought or cinematic immersion. Legally, all rights are reserved by Rhino and Warner Music Group.",Hans Zimmer - Time (Official Audio),#lofi #sadmusic #emotionalmusic #heartbreakmusic #reflectivemusic,4:35,,music ,3,Youtube likes ,not copyright free 
Upbeat Energetic Background Music,morning light music ,Energetic or Ubpeat ," Feeling Energetic , adventurous ",nan ,Up ,"“Get It Done” by MorningLightMusic is an energetic, hard-hitting rock track built to fuel sports, fitness, and action-packed videos. With driving electric guitar riffs, pounding drums, and a pulse that pushes you forward, it captures pure determination and power. Perfect for gym edits, workout montages, extreme sports highlights, or motivational content, this track turns intensity into rhythm — pushing energy higher with every beat. Whether it’s an ad, vlog, or competition video, Get It Done delivers that unstoppable, adrenaline-charged rock sound that makes every moment feel epic.

Keywords: energetic rock music, workout background music, sports montage soundtrack, motivational rock instrumental, gym music, action promo music, hard rock background, MorningLightMusic, fitness vlog soundtrack, epic rock beat.",https://youtu.be/YGSelD1TZWY?si=sX7wiH98S1D2jG0t,#energeticrock #workoutmusic #sportsmusic #motivationalrock #actionmusic,1:38,,music ,3,Youtubes likes ,not copyright free 
Energetic Upbeat Percussive Clap and Stomp Background Music,Elysium Audio Labs,"Energetic or Upbeat, claps "," For videos, advertising, promos, kinetic typography videos, vlogs, adventurous game  ",nan,high ,"Energetic Upbeat Percussive Action Stomps and Claps” by Elysium Audio Labs is a high-energy, rhythm-driven track designed to boost adrenaline and movement. Featuring bold percussion, stomping beats, clapping patterns, and modern cinematic sound design, it creates an atmosphere of motivation, teamwork, and unstoppable momentum. Perfect for sports promos, workout videos, ads, kinetic typography, presentations, or any video that needs a confident, driving pulse — this track instantly energizes visuals with attitude and punch. Whether you’re creating a brand ad or an upbeat montage, this music brings the power of rhythm and unity to every beat. Copyright: Free for non-commercial use with credit; license required for monetization or commercial use.",https://youtu.be/7qLfHqPJaSg?si=uxqLxeIJAHuxynj_,#energeticmusic #sportsmusic #motivationalmusic #actionmusic #percussivemusic,2:39,,music ,2,Youtube likes ,not copyright free 
"Epic Uplifting Rock Sports Music for Promos, Ads & Trailers [Royalty Free Music]","""Never Defeated"" - Marscott","Energetic, Upbeat ","Epic Uplifting Rock Sports Music for Promos, Ads & Trailers [Royalty Free Music] Feeling Energetic , adventurous, sports ",nan ,high ,"“Never Defeated” by Marscott is an epic, modern stomp rock royalty-free track with an uplifting and powerful vibe, perfect for sports, adventure vlogs, action montages, workouts, stadium footage, fashion, commercials, promos, and cinematic projects. Its driving rhythm, bold guitars, and high-energy percussion make it ideal for bike vlogs, extreme sports, and adventurous content, giving every scene a sense of momentum, triumph, and excitement. Copyright: Free to use with proper credit for non-commercial videos; license required for monetization or commercial use.",https://youtu.be/wTE41GEaLfQ?si=d7jqVPdclBCLlZwL,#epicrock #sportsmusic #motivationalmusic #actionmusic #adventuremusic,2:38,,music ,1,Youtube likes ,not copyright free 
Background Music for Trailers Sports and Action Videos,"Original name of the track: ""Bulletproof""","Energetic, Upbeat ","Background Music for Trailers Sports and Action Videos Feeling Energetic, action,sports adventurous ",nan ,high ,"“Bulletproof” by Mojo Soundtrack is a powerful, modern rock track with driving guitars, bold riffs, and dynamic synth elements, perfect for trailers, sports, action scenes, adventure vlogs, racing montages, movies, and promotional videos. Its energetic, adrenaline-pumping sound makes it ideal for creating excitement, tension, and cinematic impact, whether in high-speed bike rides, action sequences, or epic sports footage. Copyright: Free to use with proper credit for non-commercial videos; license required for monetization or commercial use.",https://youtu.be/HbElKpm9c3g?si=nNt0wbWT4KAMj0BK,#epicrock #sportsmusic #actionmusic #trailermusic #motivationalmusic,2:24,,music ,1,Youtube likes ,not copyright free 
Cool Rock Background Music for Sports,"Music: ""Overdrive"" by Mojo Soundtrack",,"Background Music for Trailers Sports and Action Videos Feeling Energetic, action,sports adventurous ",nan ,,"Overdrive” by Mojo Soundtrack is a high-energy rock track featuring gritty guitars, groovy drums, and a driving rhythm, perfect for sports videos, extreme sports montages, trailers, promos, and advertising. Its dynamic and fun vibe creates excitement, intensity, and momentum, making it ideal for action-packed visuals or cinematic storytelling. Copyright: Free to use with proper credit for non-commercial videos; license required for monetization or commercial use.",https://youtu.be/fw-SwcpSkc8?si=pkSKVCd1kHBGxgUM,#epicrock #sportsmusic #actionmusic #motivationalmusic #trailermusic,                   2:5,,music ,1,Youtube likes ,not copyright free 
Latin Sunset ,Ocean Bloom,"Dance , Carnival ","dance , american, carnival ",nan ,medium ,"“Latin Sunset” by Ocean Bloom is an upbeat, festive Latin-inspired track featuring vibrant trumpet melodies, rhythmic percussion, and energetic dance grooves. Perfect for party scenes, dance videos, travel vlogs, or any content that needs a lively South American carnival vibe, this track instantly brings warmth, celebration, and movement to your visuals. Copyright: Free-to-use license; can be used freely in your projects.",https://freetouse.com/music/ocean-bloom/latin-sunset,#latinmusic #carnivalmusic #dancevibes #travelmusic #festivemusic,2:02,,music ,0,Youtube likes ,free to use 
Enjoy,Pufino,"happy, chill, and uplifting instrumental track with bright, joyful guitar melodies",,nan ,medium pitched," “Enjoy” by Puffino is a happy, chill, and uplifting instrumental track with bright, joyful guitar melodies and a medium-paced, groovy rhythm. Perfect for summer picnic vlogs, fun gatherings, or any scene where people are cooking, preparing, and enjoying playful, lighthearted moments. This positive and cheerful track instantly adds a feel-good, vibrant atmosphere to your content. Duration: 2:29 | Copyright: Free-to-use under the provided license.",https://freetouse.com/music/pufino/enjoy,#happymusic #chillmusic #upliftingmusic #summermusic #feelgoodmusic,2:29,,music ,0,Youtube likes ,free
Happy Moments,Aylex,"Happy , chill , cooking, Tropical positive ","Happy, joyful, positive, kids playing ",nan ,medium pitched,"“Happy Moments” by Aylex is an uplifting, positive, and chill instrumental track with a bright and cheerful vibe. Perfect for background music in videos featuring kids playing, growing, cooking, or enjoying everyday happy moments. Its joyful and lighthearted tone adds warmth and a sense of positivity to any scene. Copyright: Free-to-use under the provided license.",https://freetouse.com/music/aylex/happy-moments,#happymusic #chillmusic #positivevibes #kidsmusic #upliftingmusic,2:25,,music ,0,Youtube likes ,free to use 
Spring ,Aylex ,spring ,,nan ,medium,"“Spring” is a medium-paced, uplifting instrumental track with a bright and cheerful vibe. Perfect for videos showcasing smiles, happiness, excitement, sunny moments, and travel adventures. Its warm and joyful tone adds a sense of positivity and energy to any scene. Copyright: Free-to-use under the provided license.",https://freetouse.com/music/aylex/spring,#happymusic #upliftingmusic #travelmusic #positivevibes #springvibes,2:29,,music ,0,Youtube likes ,free to use 
The feeling,AgusAlvarezLuke Bergs,"chill , relax mode",Energetic & Festive,nan ,mid-range,"The Feeling"" is a vibrant tropical house track that seamlessly blends upbeat electronic rhythms with acoustic elements, creating a lively and uplifting atmosphere. Its catchy melodies and rhythmic beats evoke a sense of joy and celebration, making it perfect for summer-themed content, travel vlogs, and energetic montages.",https://freetouse.com/music/agusalvarez/the-feeling,#tropicalhouse #summermusic #upliftingmusic #travelvibes #dancemusic,3:03,,music ,0,Youtube likes ,free to use 
Make me,Luke BergsAgusAlvarez,"chill , relax mode",Optimistic & Vibrant,nan ,mid-range,"Make Me"" is an upbeat tropical house track featuring lively saxophone melodies and rhythmic percussion, creating a vibrant and energetic atmosphere. Its catchy tune is perfect for summer-themed content, travel vlogs, and energetic montages, adding a touch of sunshine and joy to any project.",https://freetouse.com/music/luke-bergs/make-me,#tropicalhouse #summermusic #upliftingmusic #saxophonemusic #dancemusic,2:45,,,0,Youtube likes ,free
Home Sick,Luke BergsWaesto,"Fun, Bright",Uplifting & Cheerful,nan,mid-range,"Homesick"" is a tropical house track featuring ukulele melodies and electronic beats, creating a warm, nostalgic, and uplifting atmosphere. Its cheerful vibe makes it ideal for travel vlogs, lifestyle content, and beach-themed videos.",https://freetouse.com/music/luke-bergs/homesick,#tropicalhouse #nostalgicmusic #upliftingmusic #travelvibes #beachmusic,2:58,,,0,Youtube likes ,free to use 
Fever,shandr,"upbeat, party",Chill & Intense,nan ,mid-range pitch,"Fever"" by Shandr is a hypnotic, atmospheric track with smooth beats and ambient synths, evoking calm introspection and subtle excitement. Perfect for lifestyle videos, travel vlogs, fashion, or cinematic montages, it adds a moody, reflective vibe while enhancing moments of anticipation and quiet thrill.",https://freetouse.com/music/shandr/fever,#chillmusic #ambientmusic #lifestylemusic #travelvibes #cinematicmusic,2:49,,music,0,Youtube likes ,free to use 
